2523 	2011-04-19 	6 	11 	12 	17 	30
2524 	2011-04-21 	11 	12 	21 	25 	27
2525 	2011-04-23 	7 	17 	18 	23 	32
2526 	2011-04-26 	2 	10 	23 	30 	37
2527 	2011-04-28 	4 	6 	10 	17 	37
2514 	2011-03-29 	1 	17 	29 	30 	37
2515 	2011-03-31 	2 	9 	11 	25 	36
2516 	2011-04-02 	2 	10 	27 	34 	35
2517 	2011-04-05 	2 	6 	24 	36 	41
2518 	2011-04-07 	16 	26 	27 	33 	40
2519 	2011-04-09 	1 	6 	34 	40 	42
2520 	2011-04-12 	8 	13 	15 	24 	25
2521 	2011-04-14 	7 	8 	10 	12 	29
2522 	2011-04-16 	2 	9 	11 	35 	36
2513 	2011-03-26 	1 	2 	9 	26 	29
2512 	2011-03-24 	21 	27 	32 	38 	39
2511 	2011-03-22 	9 	10 	17 	27 	29
2510 	2011-03-19 	10 	22 	23 	26 	42
2509 	2011-03-17 	6 	17 	19 	23 	36
2508 	2011-03-15 	2 	10 	15 	25 	32
2507 	2011-03-12 	4 	8 	20 	26 	34
2506 	2011-03-10 	3 	17 	22 	28 	31
2505 	2011-03-08 	5 	8 	14 	23 	33
2504 	2011-03-05 	2 	7 	23 	30 	32
2503 	2011-03-03 	9 	16 	22 	32 	39
2502 	2011-03-01 	4 	22 	29 	32 	39
2501 	2011-02-26 	5 	7 	17 	29 	32
2500 	2011-02-24 	11 	14 	27 	30 	38
2499 	2011-02-22 	22 	33 	34 	36 	42
2498 	2011-02-19 	20 	21 	33 	36 	41
2497 	2011-02-17 	18 	30 	34 	39 	41
2496 	2011-02-15 	1 	13 	24 	32 	35
2495 	2011-02-12 	2 	20 	22 	23 	40
2494 	2011-02-10 	17 	19 	29 	34 	38
2493 	2011-02-08 	3 	4 	9 	40 	42
2492 	2011-02-05 	9 	18 	22 	23 	31
2491 	2011-02-03 	10 	21 	22 	25 	27
2490 	2011-02-01 	7 	9 	10 	19 	28
2489 	2011-01-29 	1 	6 	10 	22 	42
2488 	2011-01-27 	15 	18 	25 	28 	37
2487 	2011-01-25 	5 	8 	10 	15 	30
2486 	2011-01-22 	17 	23 	26 	28 	36
2485 	2011-01-20 	1 	6 	28 	31 	34
2484 	2011-01-18 	8 	17 	25 	30 	33
2483 	2011-01-15 	12 	17 	20 	30 	36
2482 	2011-01-13 	9 	13 	16 	29 	30
2481 	2011-01-11 	1 	7 	26 	30 	34
2480 	2011-01-08 	4 	12 	13 	24 	37
2479 	2011-01-06 	8 	20 	22 	30 	39
2478 	2011-01-04 	7 	9 	25 	29 	31
2477 	2011-01-01 	8 	23 	24 	26 	38
2476 	2010-12-30 	1 	3 	29 	39 	40
2475 	2010-12-28 	17 	26 	27 	35 	36
2474 	2010-12-25 	22 	28 	31 	34 	36
2473 	2010-12-23 	10 	19 	25 	29 	32
2472 	2010-12-21 	10 	24 	28 	30 	36
2471 	2010-12-18 	4 	6 	13 	15 	35
2470 	2010-12-16 	2 	13 	16 	18 	40
2469 	2010-12-14 	7 	8 	12 	29 	34
2468 	2010-12-11 	3 	8 	14 	26 	39
2467 	2010-12-09 	7 	18 	27 	32 	36
2466 	2010-12-07 	2 	7 	15 	25 	41
2465 	2010-12-04 	1 	15 	16 	22 	29
2464 	2010-12-02 	7 	15 	21 	30 	37
2463 	2010-11-30 	4 	6 	10 	24 	32
2462 	2010-11-27 	7 	19 	23 	24 	33
2461 	2010-11-25 	3 	10 	24 	27 	33
2460 	2010-11-23 	7 	22 	28 	29 	42
2459 	2010-11-20 	4 	6 	21 	28 	34
2458 	2010-11-18 	5 	6 	8 	10 	31
2457 	2010-11-16 	21 	28 	31 	35 	37
2456 	2010-11-13 	21 	24 	31 	38 	39
2455 	2010-11-11 	3 	12 	14 	31 	37
2454 	2010-11-09 	2 	7 	9 	36 	39
2453 	2010-11-06 	5 	18 	19 	28 	31
2452 	2010-11-04 	7 	9 	17 	37 	38
2451 	2010-11-02 	17 	19 	27 	34 	35
2450 	2010-10-30 	4 	5 	7 	8 	11
2449 	2010-10-28 	3 	6 	7 	13 	40
2448 	2010-10-26 	7 	18 	19 	20 	32
2447 	2010-10-23 	12 	15 	19 	30 	42
2446 	2010-10-21 	2 	3 	26 	37 	42
2445 	2010-10-19 	1 	26 	31 	35 	40
2444 	2010-10-16 	14 	21 	30 	36 	42
2443 	2010-10-14 	5 	12 	17 	21 	42
2442 	2010-10-12 	10 	27 	31 	34 	35
2441 	2010-10-09 	1 	19 	20 	26 	41
2440 	2010-10-07 	3 	6 	13 	14 	36
2439 	2010-10-05 	1 	15 	18 	35 	42
2438 	2010-10-02 	11 	29 	36 	40 	41
2437 	2010-09-30 	14 	22 	23 	39 	42
2436 	2010-09-28 	4 	8 	16 	17 	27
2435 	2010-09-25 	11 	22 	27 	34 	35
2434 	2010-09-23 	5 	6 	15 	16 	30
2433 	2010-09-21 	4 	14 	21 	35 	37
2432 	2010-09-18 	9 	10 	14 	16 	21
2431 	2010-09-16 	7 	8 	29 	34 	36
2430 	2010-09-14 	11 	18 	24 	33 	38
2429 	2010-09-11 	2 	7 	8 	9 	19
2428 	2010-09-09 	1 	10 	11 	25 	35
2427 	2010-09-07 	2 	9 	12 	15 	25
2426 	2010-09-04 	1 	17 	23 	29 	41
2425 	2010-09-02 	1 	3 	13 	16 	39
2424 	2010-08-31 	17 	18 	20 	22 	28
2423 	2010-08-28 	3 	7 	8 	25 	31
2422 	2010-08-26 	22 	25 	32 	35 	42
2421 	2010-08-24 	20 	21 	29 	31 	35
2420 	2010-08-21 	9 	10 	21 	25 	40
2419 	2010-08-19 	10 	18 	20 	21 	32
2418 	2010-08-17 	4 	12 	19 	28 	31
2417 	2010-08-14 	6 	13 	17 	19 	27
2416 	2010-08-12 	5 	16 	17 	23 	24
2415 	2010-08-10 	14 	15 	21 	24 	34
